company_id,name,founded_year,industry,headquarters,employee_count,revenue (M USD)
1,Christensen-Strong,1996,Finance,"South Elizabethborough, AZ",3579,5030.51
2,Santana and Sons,1952,Food & Beverage,"West Laurastad, WI",16358,292.48
3,"Bush, Spencer and Sexton",2006,Food & Beverage,"Gailburgh, VA",7161,7122.79
4,Harmon-Davis,1964,Finance,"Lake Corey, NC",10087,6265.18
5,"Peterson, Hernandez and Solomon",2000,Food & Beverage,"New Jenniferbury, MD",18547,6459.61
6,Serrano-Kent,2003,Finance,"East Rachelmouth, OR",8791,8156.59
7,Montes-Lopez,1978,Manufacturing,"Lake Nicolemouth, MS",831,928.16
8,Ward Inc,1995,Food & Beverage,"Keithfurt, CO",19451,9606.2
9,Maxwell LLC,2011,Finance,"South Robertside, CO",3206,2145.09
10,Green Ltd,2004,Finance,"Owensburgh, AL",12334,9174.43
11,Lloyd Inc,1972,Retail,"Patriciaville, MT",6802,9315.41
12,Johnson Group,1980,Finance,"Janetburgh, AR",148,1560.72
13,Nelson-Banks,1960,Manufacturing,"New Gregory, NV",2289,8117.88
14,Cain-Brown,1982,Manufacturing,"Toniburgh, OK",868,9035.26
15,King-Norris,2019,Retail,"East Michelleborough, KY",1502,8708.15
16,Ross-Edwards,2015,Food & Beverage,"West Melissa, NV",5244,3341.34
17,"Cherry, Jones and Wilson",2005,Manufacturing,"Kingview, ME",4884,2187.5
18,"Rivera, Walker and Mills",1964,Food & Beverage,"Ballfort, MA",1631,5332.33
19,"Sims, Cox and Kline",1988,Manufacturing,"West Eric, WI",12085,5797.24
20,"Fuller, Norton and Hooper",1957,Healthcare,"New Tyler, AR",15565,4699.63
21,Greer Inc,1990,Healthcare,"Moranmouth, KS",6752,8506.55
22,Reid and Sons,1984,Manufacturing,"Port Michael, DC",8486,6568.42
23,Watson-Martinez,2013,Healthcare,"Campostown, MN",2960,2631.09
24,Silva and Sons,1986,Finance,"East Evelyn, OR",17583,4385.76
25,Clements and Sons,2003,Finance,"Johnborough, AR",6337,5799.4
26,Montes-Allen,2002,Food & Beverage,"Yolandatown, LA",3899,3254.92
27,"Marsh, Powell and Leach",1962,Finance,"New Dawnfurt, DE",9005,5070.64
28,Montes and Sons,1994,Food & Beverage,"North Lori, TX",4478,1629.02
29,Gaines-Bradshaw,1983,Technology,"East Pamelaburgh, LA",525,5887.92
30,Rhodes LLC,2010,Technology,"East Stuart, WV",10412,6631.66
31,James-Boyd,2005,Manufacturing,"Andreahaven, ND",8136,9439.79
32,"Green, Wade and Welch",1986,Healthcare,"Robertview, WI",11946,7894.92
33,Gibson Group,1978,Healthcare,"Jenniferview, PA",11900,772.32
34,White PLC,1954,Technology,"Joelmouth, IL",14238,6552.79
35,Johnson Group,1998,Manufacturing,"Patelstad, AK",15597,3211.54
36,"Graham, Weber and James",2005,Healthcare,"Martinezstad, WI",4283,7355.32
37,Thompson-Anderson,2018,Healthcare,"Port Stephenton, UT",16003,5952.86
38,Jones Ltd,1977,Technology,"Davisville, OK",17805,2275.48
39,"Wilson, Mccarthy and Mcguire",1991,Healthcare,"Everettmouth, FL",5315,149.8
40,Hess-Walton,1982,Food & Beverage,"East Rebeccaton, WY",13659,367.85
41,"Bowen, Mullen and Goodwin",1980,Food & Beverage,"Tanyaberg, MA",19577,5963.77
42,Osborne Group,1998,Food & Beverage,"Stefanieport, HI",6798,4943.05
43,Cummings Group,2004,Manufacturing,"West Courtneyview, MS",8227,4496.64
44,"White, Oneill and Allen",1973,Food & Beverage,"Tuckermouth, NM",19058,358.73
45,Gross-Williams,2019,Technology,"West Steven, CA",2584,8574.81
46,Hanna-Stanley,1952,Finance,"South Mckenzie, WY",12067,143.78
47,"Sweeney, Jones and Walker",2022,Technology,"Lake Emily, MI",6271,7191.73
48,Clark Inc,2010,Manufacturing,"South Jerry, HI",7066,1811.72
49,Hamilton PLC,1960,Healthcare,"Lauraville, KS",13566,3955.01
50,Smith-Williams,1978,Food & Beverage,"South Kim, DE",18449,2309.68
51,"Oconnor, Montgomery and Allen",1995,Retail,"East Kim, KS",16699,2508.41
52,Green-Flores,2004,Technology,"North Sandratown, DC",2407,4314.03
53,"Morris, Edwards and White",1980,Technology,"Holderton, AK",15148,5364.03
54,"Hill, Burton and Gilbert",1980,Manufacturing,"Johnsonville, OH",14371,7915.8
55,Ali-Donovan,2006,Technology,"North Kellytown, NV",4469,6804.76
56,"Williams, Walker and Lewis",2021,Retail,"New Briantown, FL",12711,7794.65
57,Hopkins-Hawkins,1955,Retail,"New Briana, IA",2412,6957.32
58,Jones-Ray,1965,Finance,"Mitchelltown, OH",2647,6243.9
59,Clark-Ferguson,2016,Retail,"Lake Jenniferhaven, CO",7726,5504.79
60,Brown Inc,1991,Technology,"West Tylerberg, AL",7493,3293.89
61,Singh-Williams,1986,Retail,"North Martha, NY",7487,7166.44
62,Fisher LLC,1952,Manufacturing,"Monroemouth, WI",3644,7801.2
63,"Leach, Schmidt and Vaughn",2013,Retail,"Lake Jerry, GA",19744,4065.59
64,"Haley, Hart and Klein",2012,Manufacturing,"Galvanport, WY",19222,2836.21
65,"Miller, Jones and Palmer",1989,Retail,"Mcdonaldstad, CA",2995,9351.89
66,Wallace-Watson,1956,Retail,"Lake Pamelabury, MA",16540,2529.42
67,Hicks-Morris,1953,Finance,"Nixonview, KY",18976,5579.62
68,"Stewart, Richardson and Myers",2009,Healthcare,"Danielleborough, DE",19989,3882.52
69,Perez PLC,1950,Technology,"Port Justin, CT",16610,9614.35
70,Thompson Inc,2022,Retail,"Ellenberg, MO",3187,2848.07
71,White LLC,1987,Technology,"Port Sandra, WV",16782,8355.78
72,"Faulkner, Roberts and Smith",2008,Healthcare,"North Kristen, CT",5755,4244.18
73,Rodgers-Moran,1959,Finance,"Kevinfort, AR",17449,478.51
74,"Elliott, Jones and Brewer",2013,Technology,"South Richardview, DE",2983,3294.96
75,Hale Ltd,1961,Retail,"Port Leahchester, MD",1860,324.42
76,"Gallegos, Guzman and Martinez",1974,Healthcare,"New Ryan, SC",13435,8962.56
77,Phillips Group,1951,Manufacturing,"East Troytown, NV",323,5043.85
78,Watts LLC,1977,Food & Beverage,"New Jennachester, NJ",4741,9308.33
79,Young-Mcgee,1959,Healthcare,"West Emily, RI",11130,57.01
80,"Perez, Martinez and Calderon",2022,Finance,"South Jonathanburgh, NH",18061,7821.76
81,"Mcintyre, Farmer and Saunders",1966,Manufacturing,"East Daniel, GA",17128,4817.25
82,Davila-Tyler,1999,Retail,"Jessicashire, PA",12681,5239.38
83,Ward-Richardson,2004,Manufacturing,"Kristiberg, IN",2859,5139.87
84,King-Salinas,2003,Finance,"North Jeremiah, WV",12160,2691.23
85,Cole-Townsend,1952,Technology,"Port Sarahhaven, OR",18917,5965.32
86,Hill PLC,2007,Manufacturing,"Williamside, ND",12842,3145.14
87,"Morrison, Perez and Allen",1955,Manufacturing,"East Charleschester, MS",14058,1706.94
88,Campbell-Porter,1966,Retail,"Lake Johnville, NY",3021,7771.7
89,Coleman and Sons,1975,Healthcare,"East Aprilton, KY",5466,4393.31
90,Nelson-Daniels,1951,Finance,"Christopherfort, MA",8203,6364.08
91,"Washington, Morris and Wells",1988,Manufacturing,"Pattersonberg, OK",18660,8354.07
92,Dennis-Soto,2011,Retail,"North Gregory, MD",19125,4377.09
93,Singleton-Phelps,1955,Food & Beverage,"Cantufort, AL",9652,7720.2
94,"Wood, Sawyer and Foster",1970,Healthcare,"East Christina, RI",17136,3418.38
95,Tyler Ltd,2014,Finance,"Barrhaven, HI",6225,2658.7
96,Cooper-Martinez,2003,Manufacturing,"Lawrenceland, NV",5482,4150.69
97,Vega Group,1978,Retail,"Lake Derrickmouth, GA",1696,2633.24
98,Esparza-Cantu,1963,Retail,"Briantown, LA",9679,7787.15
99,"Stephens, Garcia and Griffin",1968,Food & Beverage,"Ryanborough, MD",4307,1868.69
100,Powell-Thomas,2019,Retail,"Bennettview, MT",944,4447.52
101,Schneider LLC,1998,Food & Beverage,"North Pamelafurt, LA",6934,4986.54
102,Tran Group,1978,Food & Beverage,"Robertville, CA",595,8330.71
103,Lewis-Diaz,2021,Healthcare,"North Juliashire, MN",2996,3192.93
104,Barnes-Bryant,2016,Healthcare,"East Vernon, LA",4810,8133.14
105,Boyd Ltd,1967,Manufacturing,"Port Kevinfort, MI",5636,1759.07
106,Nelson LLC,1953,Finance,"East Kevinhaven, DE",10881,4282.73
107,Goodman-Jones,1971,Food & Beverage,"Port Coreymouth, CO",16060,3882.82
108,"Smith, Ray and Harris",2018,Manufacturing,"East Anthonyport, DE",12266,5122.78
109,"Rodriguez, Salazar and Smith",1997,Healthcare,"Dayport, CT",5253,8498.58
110,Rush-Adams,2013,Retail,"Pamelaberg, MN",11723,448.2
111,Beard-Lucas,1964,Finance,"Ingramburgh, MA",6546,3315.39
112,Kramer and Sons,1997,Technology,"Leemouth, AZ",10756,8921.28
113,Lewis Group,1980,Healthcare,"Greenview, OK",9838,5541.67
114,Watts PLC,1972,Manufacturing,"New Jamesborough, IA",5577,7621.5
115,"Sanchez, Lee and Hall",1950,Technology,"New Melindaborough, WV",15913,9758.77
116,Moore-Knight,1956,Finance,"East Donaldland, TX",4299,8991.67
117,Barrett LLC,1996,Food & Beverage,"Halemouth, NJ",7156,6548.25
118,"Mason, Miller and Giles",2019,Manufacturing,"Kentburgh, ID",16439,8504.43
119,Foster and Sons,1980,Food & Beverage,"Smithberg, HI",3377,1450.4
120,"Lewis, Davis and Ayala",2022,Food & Beverage,"Ronnieview, CT",6087,5895.5
121,"Webb, Fuentes and Hall",2012,Manufacturing,"Paulchester, WA",9117,6014.19
122,Jennings-Webb,1951,Technology,"Lake Steven, HI",7063,6700.75
123,Lynch Group,1957,Food & Beverage,"Smithland, MI",2689,2145.12
124,Lewis-Hayes,1978,Healthcare,"Port Toni, KS",10037,1867.78
125,Harris-Parks,2007,Manufacturing,"Lawrenceshire, TN",11264,1279.48
126,"Cole, Pacheco and Williams",1962,Retail,"West Justinchester, NJ",5229,2395.01
127,Gonzalez Group,1958,Technology,"Lake Michaelside, TX",3045,9109.7
128,"Mcmillan, Stephens and Johnson",2009,Finance,"Lake Kathleenside, LA",18917,8827.74
129,"Mason, Harris and Mann",1983,Finance,"Jimmyberg, MO",3064,5059.9
130,Mercer PLC,2002,Food & Beverage,"New Kaylaport, WY",8400,9003.52
131,"Greene, Bates and Richard",1977,Manufacturing,"South Erik, MI",6017,4100.96
132,James Group,1975,Healthcare,"Hoganshire, ME",17639,5881.55
133,"Rodriguez, Jackson and Smith",2019,Manufacturing,"Martinview, WY",13975,8284.68
134,Morris and Sons,1969,Finance,"East Rebecca, WI",6001,103.87
135,"Snyder, Oliver and King",1978,Finance,"South Christopherside, NE",9394,6469.1
136,Bush Ltd,1971,Finance,"New Jimmyshire, WI",3732,2176.7
137,Powell Ltd,2011,Retail,"East Hannahfurt, MO",11534,3435.13
138,"Ochoa, Smith and Ward",1993,Retail,"New Michelleport, GA",7735,7992.4
139,Lopez-Mitchell,1987,Manufacturing,"Harrisshire, TX",1389,7118.28
140,"Glover, Martinez and Lang",1968,Healthcare,"South Keithberg, ND",18345,5893.04
141,"Calderon, Meyer and Gaines",1989,Technology,"Brianfort, NY",16955,5417.4
142,Nguyen and Sons,1954,Healthcare,"Denisefurt, NE",6135,4679.18
143,Mcguire-Hernandez,1980,Healthcare,"West Michelle, NV",9667,4547.02
144,Moody Inc,2001,Retail,"Chadshire, VA",12165,8470.04
145,Smith-Chapman,2005,Technology,"Pennybury, SC",12818,5687.43
146,Parks-Berry,1971,Healthcare,"New Adam, NC",16032,4635.75
147,Graham and Sons,1951,Healthcare,"Waltershaven, AZ",670,7927.1
148,Castillo Inc,1992,Finance,"Lake Benjamin, TN",3383,2700.82
149,French-Gallegos,1980,Finance,"Rogersfort, IL",2575,4267.52
150,"Henry, Rush and Russo",2012,Manufacturing,"North Oscar, WA",12191,4126.37
151,"Smith, Torres and Smith",1954,Manufacturing,"Lake Dawn, NV",13844,2077.03
152,"Gutierrez, Myers and Ferguson",1951,Technology,"Darrylland, ND",12480,3048.84
153,Hammond and Sons,1998,Food & Beverage,"New Carolhaven, TX",13084,719.86
154,"Sanchez, Snyder and Bishop",1988,Manufacturing,"South Ashley, VA",16748,2284.4
155,Garcia-Rice,1956,Finance,"Mirandafort, ND",6298,5720.84
156,Lloyd Ltd,2013,Manufacturing,"North Nicole, TN",5690,6130.63
157,Thompson-Skinner,1985,Manufacturing,"West Vanessa, VT",6831,8978.94
158,Gomez-Little,1952,Manufacturing,"Marytown, MI",6516,9243.81
159,Smith-Miller,1956,Food & Beverage,"Keithfort, KY",6503,2180.05
160,"Aguilar, Avila and Reeves",1952,Finance,"Brentchester, TN",4313,1280.1
161,"Anthony, Hess and Baird",1999,Healthcare,"Thomastown, GA",8432,9139.39
162,Johnson LLC,1995,Food & Beverage,"West Jessica, OH",18299,9565.94
163,Weiss-Roberts,2013,Technology,"Jenningsmouth, AK",16281,4732.87
164,"Fox, Rodriguez and Price",1966,Retail,"East Brittney, SC",11375,2640.4
165,Conley-Watkins,2010,Finance,"Seanport, NE",5591,8956.41
166,"Howell, Ballard and Oliver",1950,Food & Beverage,"North Nicholasstad, OR",103,7959.7
167,Hoffman Ltd,2021,Healthcare,"West Stephanie, ID",10013,7006.5
168,"Brown, Galloway and Gordon",2019,Retail,"East Sarahfort, PA",4894,5521.4
169,"Davis, Pope and Guerra",2015,Technology,"Lake Michael, MS",6615,1217.1
170,Smith Inc,2004,Healthcare,"Greenshire, MS",17659,1795.21
171,Banks-Armstrong,2007,Manufacturing,"East Tylermouth, LA",1218,2547.76
172,"Johnson, Mullins and Reyes",2013,Technology,"Cruzburgh, MT",6298,1076.93
173,Little-Burke,1956,Manufacturing,"East Donside, HI",1919,7665.3
174,Mendoza Ltd,2021,Technology,"Johnsonshire, OH",8276,6711.19
175,Hamilton PLC,2022,Retail,"North Anthonyside, AZ",12224,5930.05
176,Henderson-Jordan,1989,Manufacturing,"West Andres, NV",15741,1601.67
177,Charles PLC,2016,Retail,"New Devin, PA",7448,8424.85
178,Baker-Hayes,1969,Food & Beverage,"North Jason, VT",936,5594.81
179,"Wolf, Macias and Miller",1984,Finance,"South Sarah, MS",6159,2687.35
180,Parks-Shaw,1968,Healthcare,"Davisborough, DE",7849,8609.79
181,Wood LLC,1998,Finance,"East John, OH",11903,3445.39
182,"Trevino, Nguyen and Shepherd",2022,Food & Beverage,"North Suebury, TN",12821,2897.25
183,"Goodman, Davidson and Hernandez",1998,Finance,"Lake Lauren, OK",17488,5150.39
184,"Huffman, Rodriguez and Ramirez",1960,Healthcare,"East Nicole, ND",3434,4823.49
